amount_requested,residence_rent_or_own,monthly_rent_amount,bank_account_direct_deposit,application_when,loan_duration,payment_ach,num_payments,payment_amount,amount_approved,duration_approved,address_zip,bank_routing_number,email_duration,residence_duration,bank_account_duration,payment_frequency,monthly_income_amount,raw_l2c_score,raw_FICO_telecom,raw_FICO_retail,raw_FICO_bank_card,raw_FICO_money,flgGood,monthly_income_after_rent,pays_rent,year_month,SAMPLE_WEIGHT
500,1,0,1,2010-10-16 14:06:05,3,1,6,138.48,500,3,84,124001545,1 year or more,0-12 months,0-12 months,Semi-monthly,1560,614,574,600,656,561,1,1560,0,2010-10,1.0
500,1,0,0,2010-10-17 13:01:53,6,1,13,77.39,500,6,84,124000054,1 year or more,3+ years,3+ years,Bi-weekly,900,708,501,550,651,563,0,900,0,2010-10,1.0
400,1,620,1,2010-10-17 19:52:34,6,1,13,61.91,400,6,84,124001545,1 year or more,0-12 months,1-2 years,Bi-weekly,1434,687,522,561,661,598,1,814,1,2010-10,1.0
500,0,785,0,2010-10-18 07:05:00,4,1,8,108.48,500,4,84,124002971,1 year or more,3+ years,0-12 months,Bi-weekly,1600,616,560,552,634,591,0,815,1,2010-10,1.0
300,1,700,1,2010-10-19 10:58:40,4,1,8,65.09,300,4,84,124002971,1 year or more,3+ years,0-12 months,Bi-weekly,1360,681,603,654,659,636,1,660,1,2010-10,1.0
400,0,1600,1,2010-10-21 21:21:53,4,1,4,107.61,400,4,84,default,1 year or more,1-2 years,1-2 years,Monthly,4900,716,573,571,680,620,0,3300,1,2010-10,1.0
300,1,865,1,2010-10-23 19:52:18,4,1,4,136.6,300,4,84,324377516,1 year or more,3+ years,1-2 years,Monthly,3200,486,580,627,659,627,1,2335,1,2010-10,1.0
300,1,865,1,2010-10-23 19:52:18,4,1,4,136.6,300,4,84,324377516,1 year or more,3+ years,1-2 years,Monthly,3200,486,580,627,659,627,1,2335,1,2010-10,1.0
500,1,1000,1,2010-10-24 16:05:38,2,1,4,129.35,500,2,84,124000054,1 year or more,0-12 months,0-12 months,Bi-weekly,2200,530,537,508,551,583,0,1200,1,2010-10,1.0
400,1,169,1,2010-10-26 11:22:53,4,1,4,182.14,400,4,84,324079555,1 year or more,3+ years,1-2 years,Monthly,1200,645,532,560,680,594,0,1031,1,2010-10,1.0
500,1,1265,1,2010-10-27 14:12:15,6,1,13,77.39,500,6,84,124001545,1 year or more,0-12 months,1-2 years,Bi-weekly,4160,586,527,525,637,592,0,2895,1,2010-10,1.0
400,0,1175,1,2010-10-27 19:10:50,4,1,8,86.79,400,4,84,324377516,1 year or more,3+ years,3+ years,Bi-weekly,5326,564,526,547,677,598,0,4151,1,2010-10,1.0
500,0,0,1,2010-10-28 07:50:21,6,1,12,84.03,500,6,84,default,1 year or more,3+ years,0-12 months,Semi-monthly,2200,663,501,501,623,531,0,2200,0,2010-10,1.0
500,1,720,1,2010-10-28 18:50:55,4,1,17,51.17,500,4,84,default,1 year or more,0-12 months,0-12 months,Weekly,2400,523,501,501,501,501,0,1680,1,2010-10,1.0
500,1,190,1,2010-10-30 11:53:51,6,1,13,77.39,500,6,84,124002971,1 year or more,0-12 months,1-2 years,Bi-weekly,1200,712,585,663,711,603,1,1010,1,2010-10,1.0
500,1,190,1,2010-10-30 11:53:51,6,1,13,77.39,500,6,84,124002971,1 year or more,0-12 months,1-2 years,Bi-weekly,1200,712,585,663,711,603,1,1010,1,2010-10,1.0
400,1,0,0,2010-10-31 21:00:03,4,1,17,40.93,400,4,84,default,0-12 months,3+ years,0-12 months,Weekly,1920,765,654,675,728,625,0,1920,0,2010-10,1.0
400,1,300,1,2010-11-01 09:59:25,6,1,12,67.22,400,6,84,124002971,1 year or more,0-12 months,3+ years,Semi-monthly,1160,734,614,642,693,583,0,860,1,2010-11,1.3333333333333333
500,1,750,1,2010-11-01 11:39:56,6,1,13,77.39,500,6,84,324377516,1 year or more,3+ years,3+ years,Bi-weekly,9000,537,592,644,667,630,0,8250,1,2010-11,1.3333333333333333
500,1,650,1,2010-11-01 17:50:30,6,1,13,77.39,500,6,84,default,1 year or more,0-12 months,0-12 months,Bi-weekly,600,645,501,501,649,557,0,-50,1,2010-11,1.3333333333333333
500,1,635,1,2010-11-01 19:08:30,6,1,26,38.26,500,6,84,124000054,1 year or more,3+ years,3+ years,Weekly,3600,557,525,538,648,599,0,2965,1,2010-11,1.3333333333333333
800,1,889,1,2010-11-02 20:17:01,6,1,12,84.03,500,6,84,324377516,1 year or more,3+ years,3+ years,Semi-monthly,2580,602,559,606,652,606,1,1691,1,2010-11,1.3333333333333333
800,1,889,1,2010-11-02 20:17:01,6,1,12,84.03,500,6,84,324377516,1 year or more,3+ years,3+ years,Semi-monthly,2580,602,559,606,652,606,1,1691,1,2010-11,1.3333333333333333
300,1,0,1,2010-11-03 08:03:44,6,1,13,46.43,300,6,84,default,1 year or more,3+ years,0-12 months,Bi-weekly,429,616,501,555,622,587,0,429,0,2010-11,1.3333333333333333
500,1,650,1,2010-11-03 16:58:14,6,1,12,84.03,500,6,84,124002971,1 year or more,1-2 years,3+ years,Semi-monthly,4500,716,524,540,664,580,1,3850,1,2010-11,1.3333333333333333
800,1,700,1,2010-11-04 09:23:19,8,1,13,77.39,500,6,84,default,1 year or more,0-12 months,3+ years,Bi-weekly,4200,530,573,600,596,600,0,3500,1,2010-11,1.3333333333333333
800,0,0,1,2010-11-04 10:09:54,7,1,15,113.56,800,7,84,default,1 year or more,1-2 years,3+ years,Bi-weekly,1200,733,518,550,614,575,0,1200,0,2010-11,1.3333333333333333
500,1,1100,1,2010-11-04 10:24:53,5,1,5,193.91,500,5,84,default,1 year or more,1-2 years,3+ years,Monthly,3007,771,570,560,680,611,0,1907,1,2010-11,1.3333333333333333
700,1,750,1,2010-11-04 22:34:54,5,1,10,129.04,700,5,84,324377516,0-12 months,3+ years,1-2 years,Bi-weekly,5260,645,556,556,669,604,0,4510,1,2010-11,1.3333333333333333
500,1,0,1,2010-11-06 00:32:31,5,1,10,94.7,500,5,84,124302150,1 year or more,0-12 months,0-12 months,Semi-monthly,2400,544,611,609,680,617,0,2400,0,2010-11,1.3333333333333333
500,1,0,1,2010-11-06 05:35:38,5,1,10,92.17,500,5,84,default,0-12 months,0-12 months,0-12 months,Bi-weekly,1200,638,534,549,618,560,0,1200,0,2010-11,1.3333333333333333
500,1,89,1,2010-11-06 23:29:50,5,1,10,92.17,500,5,84,124002971,1 year or more,0-12 months,3+ years,Bi-weekly,1120,762,543,563,639,598,0,1031,1,2010-11,1.3333333333333333
500,1,800,1,2010-11-08 13:08:05,5,1,5,193.91,500,5,84,default,1 year or more,3+ years,3+ years,Monthly,2100,661,535,576,676,593,1,1300,1,2010-11,1.3333333333333333
500,1,400,1,2010-11-08 13:28:42,5,1,5,193.91,500,5,84,default,1 year or more,1-2 years,3+ years,Monthly,1100,716,517,520,605,564,1,700,1,2010-11,1.3333333333333333
600,1,220,1,2010-11-10 15:03:25,5,1,10,110.61,600,5,84,default,1 year or more,3+ years,3+ years,Bi-weekly,4000,765,542,580,671,620,0,3780,1,2010-11,1.3333333333333333
300,0,1143,1,2010-11-10 15:35:38,3,1,13,37.73,300,3,84,124002971,1 year or more,3+ years,0-12 months,Weekly,3652,586,580,569,680,627,1,2509,1,2010-11,1.3333333333333333
800,0,891,1,2010-11-10 23:30:21,5,1,5,193.91,500,5,84,324377516,1 year or more,3+ years,3+ years,Monthly,1500,600,622,659,698,656,1,609,1,2010-11,1.3333333333333333
500,1,0,1,2010-11-13 13:36:59,5,1,10,92.17,500,5,84,default,1 year or more,1-2 years,0-12 months,Bi-weekly,2400,541,531,547,680,582,1,2400,0,2010-11,1.3333333333333333
500,1,129,1,2010-11-13 14:58:26,5,1,5,193.91,500,5,84,124002971,1 year or more,3+ years,3+ years,Monthly,1718,734,543,570,654,598,0,1589,1,2010-11,1.3333333333333333
700,1,800,1,2010-11-13 20:32:03,5,1,5,193.91,500,5,84,default,1 year or more,3+ years,3+ years,Monthly,2100,661,535,576,676,593,1,1300,1,2010-11,1.3333333333333333
600,1,0,0,2010-11-15 16:00:23,8,1,12,84.03,500,6,84,default,1 year or more,1-2 years,0-12 months,Semi-monthly,960,642,502,503,648,534,0,960,0,2010-11,1.3333333333333333
400,1,400,1,2010-11-15 17:14:27,5,1,21,35.21,400,5,84,default,1 year or more,0-12 months,0-12 months,Weekly,1400,581,507,535,614,586,0,1000,1,2010-11,1.3333333333333333
500,0,1172,1,2010-11-15 17:14:59,5,1,5,109.18,500,5,84,124002971,1 year or more,3+ years,1-2 years,Monthly,4191,766,618,623,680,631,1,3019,1,2010-11,1.3333333333333333
500,0,960,1,2010-11-15 18:47:52,5,1,5,193.91,500,5,84,default,1 year or more,3+ years,0-12 months,Monthly,3400,591,607,612,680,640,1,2440,1,2010-11,1.3333333333333333
500,0,960,1,2010-11-15 18:47:52,5,1,5,193.91,500,5,84,default,1 year or more,3+ years,0-12 months,Monthly,3400,591,607,612,680,640,1,2440,1,2010-11,1.3333333333333333
500,1,550,0,2010-11-16 15:34:40,5,1,10,92.17,500,5,84,default,1 year or more,3+ years,1-2 years,Bi-weekly,1200,765,533,542,654,560,0,650,1,2010-11,1.3333333333333333
500,0,1100,1,2010-11-16 19:56:37,5,1,10,92.17,500,5,84,124001545,1 year or more,3+ years,3+ years,Bi-weekly,4000,765,624,659,700,641,1,2900,1,2010-11,1.3333333333333333
800,1,200,1,2010-11-17 16:15:42,7,1,15,113.56,800,7,84,default,1 year or more,3+ years,1-2 years,Bi-weekly,3376,808,528,550,680,601,0,3176,1,2010-11,1.3333333333333333
500,1,871,1,2010-11-18 07:19:52,5,1,10,92.17,500,5,84,324079555,1 year or more,0-12 months,1-2 years,Bi-weekly,2040,716,540,553,650,612,0,1169,1,2010-11,1.3333333333333333
800,1,0,1,2010-11-18 22:50:02,8,1,12,84.03,500,6,84,324377516,1 year or more,3+ years,3+ years,Semi-monthly,2000,768,648,649,713,594,0,2000,0,2010-11,1.3333333333333333
500,1,700,1,2010-11-19 13:34:43,5,1,10,92.17,500,5,84,324079555,1 year or more,0-12 months,0-12 months,Bi-weekly,1600,544,574,584,671,612,0,900,1,2010-11,1.3333333333333333
300,0,1100,1,2010-11-19 18:18:43,5,1,10,56.82,300,5,84,324377516,1 year or more,3+ years,3+ years,Semi-monthly,3990,601,630,657,705,651,1,2890,1,2010-11,1.3333333333333333
500,0,0,1,2010-11-21 04:22:05,5,1,21,44.01,500,5,84,default,1 year or more,0-12 months,0-12 months,Weekly,1200,716,514,532,647,566,0,1200,0,2010-11,1.3333333333333333
800,1,635,1,2010-11-21 15:24:35,6,1,26,61.22,800,6,84,124000054,1 year or more,3+ years,3+ years,Weekly,3000,719,525,538,648,599,0,2365,1,2010-11,1.3333333333333333
500,1,0,1,2010-11-21 23:54:04,5,1,5,193.91,500,5,84,124302150,1 year or more,0-12 months,0-12 months,Monthly,1700,544,611,609,680,617,1,1700,0,2010-11,1.3333333333333333
500,1,180,1,2010-11-22 00:05:09,5,1,10,92.17,500,5,84,124002971,1 year or more,3+ years,0-12 months,Bi-weekly,1952,550,572,599,648,607,0,1772,1,2010-11,1.3333333333333333
